"country","broadband","pop2021","mobile"
"Monaco","261.8200","39.5110",""
"Singapore","255.8300","5896.6860","105.0100"
"Hong Kong","254.7000","7552.8100","83.5800"
"Romania","232.1700","19127.7740","59.6700"
"Switzerland","229.9600","8715.4940","135.7000"
"Denmark","227.9100","5813.2980","112.0300"
"Thailand","225.1700","69950.8500","56.9000"
"Chile","217.6000","19212.3610","21.2300"
"France","214.0400","65426.1790","86.5100"
"South Korea","212.5700","51305.1860","202.6100"
"Hungary","210.5500","9634.1640","60.1600"
"Liechtenstein","204.7800","38.2500",""
"United States","203.8100","332915.0730","110.0700"
"Spain","201.4700","46745.2160","61.6200"
"China","196.5700","1444216.1070","165.3800"
"United Arab Emirates","189.0700","9991.0890","238.0600"
"Canada","183.8100","38067.9030","95.7800"
"Macau","178.9000","658.3940","62.3100"
"Japan","178.7600","126050.8040","69.0200"
"Sweden","174.9000","10160.1690","103.0800"
"Luxembourg","172.0500","634.8140","116.7600"
"Andorra","171.4400","77.3550",""
"New Zealand","170.5100","4860.6430","75.9100"
"Norway","168.2500","5465.6300","177.7200"
"Netherlands","165","17173.0990","106.9800"
"Israel","162.6600","8789.7740","48.3000"
"Portugal","162.5500","10167.9250","59.9100"
"Poland","156.3300","37797.0050","57.2300"
"Moldova","154.5600","4024.0190","42.9900"
"Taiwan","152.0100","23855.0100","95.5100"
"Kuwait","149.3700","4328.5500","157.1800"
"Lithuania","147.0500","2689.8620","66.2500"
"Malta","144.0600","442.7840","70.7300"
"Panama","137.3800","4381.5790","20.4400"
"Germany","136.6600","83900.4730","83.0600"
"Latvia","135.2200","1866.9420","50.0700"
"Finland","135.0500","5548.3600","88.2300"
"Belgium","125.1200","11632.3260","69.7600"
"Ireland","122.5500","4982.9070","62.6600"
"San Marino","121.4000","34.0170",""
"Slovenia","115.6100","2078.7240","74.8400"
"Slovakia","115.1100","5460.7210","56.0100"
"Qatar","113.8800","2930.5280","172.1800"
"Brazil","113.0900","213993.4370","33.9200"
"Barbados","109.4100","287.7110",""
"Malaysia","107.5500","32776.1940","31.3400"
"Italy","104.0900","60367.4770","55.4100"
"United Kingdom","102.2400","68207.1160","86.5600"
"Russia","95.9600","145912.0250","28.9900"
"Saudi Arabia","94.6400","35340.6830","155.9700"
"Austria","94.3100","9043.0700","71.8100"
"Estonia","88.4900","1325.1850","75.2900"
"Serbia","86.7700","8697.5500","53.8200"
"Bulgaria","86.7500","6896.6630","142.2700"
"Trinidad and Tobago","85.8000","1403.3750","41.1200"
"Jordan","84.1200","10269.0210","27.6100"
"Australia","82.7300","25788.2150","135.3000"
"Vietnam","78.3400","98168.8330","43.3200"
"Ukraine","76.8200","43466.8190","31.9500"
"Bahrain","73.9500","1748.2960","86.0400"
"Paraguay","72.5000","7219.6380","20.6500"
"Colombia","72.1900","51265.8440","18.3300"
"Philippines","71.8500","111046.9130","35.0300"
"Uruguay","69.9100","3485.1510","38.0800"
"Belarus","69.4100","9442.8620","19.4100"
"Croatia","69.0900","4081.6510","114.7600"
"Oman","68.2800","5223.3750","91.2100"
"Guyana","65.9300","790.3260",""
"India","64.0300","1393409.0380","17.8900"
"Kazakhstan","63.2800","18994.9620","31.7400"
"Bahamas","61.7500","396.9130",""
"Montenegro","60.0300","628.0530","44.4800"
"Argentina","58.8700","45605.8260","29.7700"
"Peru","58.7300","33359.4180","24.8200"
"Grenada","57.0700","113.0210",""
"Costa Rica","56.3900","5139.0520","34.0100"
"Cyprus","55.1100","1215.5840","144.6400"
"Mexico","54.8800","130262.2160","34.3300"
"South Africa","54.7500","60041.9940","52.1900"
"Saint Vincent and the Grenadines","53.7700","111.2630",""
"Mongolia","53.5300","3329.2890","21.3400"
"Saint Lucia","52.3000","184.4000",""
"Ghana","52.1000","31732.1290","12.9000"
"Kyrgyzstan","51.0700","6628.3560","24.7100"
"Bosnia and Herzegovina","48.5100","3263.4660","36.6100"
"Laos","48.1600","7379.3580","30.9300"
"Uzbekistan","45.8800","33935.7630","19.2900"
"Albania","45.5500","2872.9330","61.5600"
"Turkey","43.4800","85042.7380","48.8500"
"North Macedonia","43.2400","2082.6580","64.0200"
"Madagascar","42.8400","28427.3280",""
"Ivory Coast","40.6400","27053.6290","18.3600"
"Belize","40.6200","404.9140",""
"Bangladesh","40.3100","166303.4980","13.4300"
"Egypt","39.9700","104258.3270","24.9500"
"Mauritius","39.8500","1273.4330","30.2800"
"Greece","39.0800","10370.7440","92.5400"
"Ecuador","39.0700","17888.4750","24.6200"
"Armenia","38.9500","2968.1270","34.5300"
"Jamaica","37.8400","2973.4630","44.2300"
"Saint Kitts and Nevis","35.4500","53.5440",""
"Tajikistan","35.4500","9749.6270","16.1500"
"Senegal","35.0100","17196.3010","23.5900"
"Dominica","34.9000","72.1670",""
"Brunei","34.5900","441.5320","67.3200"
"Nepal","33.8700","29674.9200","22.3900"
"Dominican Republic","32.2600","10953.7030","31.4500"
"Iraq","31.6600","41179.3500","42.3300"
"Marshall Islands","31.6400","59.6100",""
"Nicaragua","29.9400","6702.3850","26.5900"
"Palestine","29.4600","5222.7480","7.5700"
"Georgia","28.6100","3979.7650","39.8400"
"Cambodia","28.3200","16946.4380","23.7500"
"Indonesia","27.8300","276361.7830","23.1200"
"Bolivia","27.8000","11832.9400","22.5700"
"Maldives","27.4200","543.6170","66.9000"
"Morocco","27.2100","37344.7950","39.5200"
"El Salvador","27.0400","6518.4990","26.8500"
"Cape Verde","26.9400","561.8980",""
"Honduras","26.9300","10062.9910","30.8400"
"Rwanda","26.2600","13276.5130",""
"Sri Lanka","26.0800","21497.3100","16.5800"
"Liberia","25.6800","5180.2030",""
"Burkina Faso","25.5400","21497.0960",""
"Azerbaijan","25.1000","10223.3420","40.6900"
"Seychelles","24.9000","98.9080",""
"Bhutan","24.7600","779.8980",""
"Lesotho","24.6400","2159.0790",""
"Venezuela","23.9200","28704.9540","7.6800"
"Guatemala","23.7200","18249.8600","29.6900"
"Western Sahara","23.0200","611.8750",""
"Micronesia","22.5400","116.2540",""
"Gabon","22.5000","2278.8250",""
"Iran","21.3600","85028.7590","35.4800"
"Antigua and Barbuda","21.2400","98.7310",""
"Mali","20.8200","20855.7350","29.7900"
"Fiji","20.7600","902.9060","28.5100"
"Togo","20.7600","8478.2500","36.0800"
"Myanmar","20.6900","54806.0120","28.1900"
"Haiti","20.6700","11541.6850","19.7100"
"Tanzania","19.7700","61498.4370","13.2300"
"Namibia","19.5800","2587.3440","23.1800"
"Kenya","19.3500","54985.6980","22.1400"
"Somalia","18.9800","16359.5040","14.7400"
"Djibouti","18.2700","1002.1870",""
"Lebanon","18.2200","6769.1460","32.6400"
"Zimbabwe","17.8100","15092.1710",""
"Nigeria","17.6500","211400.7080","24.7400"
"Zambia","17.2400","18920.6510","18.9800"
"Benin","16.2300","12451.0400",""
"Vanuatu","16.1800","314.4640",""
"Libya","16.1200","6958.5320","16.0300"
"Suriname","15.9300","591.8000","42.9700"
"Angola","14.8600","33933.6100","25.8700"
"Ethiopia","14.1700","117876.2270","26.1700"
"Cameroon","13.9400","27224.2650","31.1800"
"Pakistan","13.8400","225199.9370","19.8200"
"Papua New Guinea","13.6800","9119.0100",""
"Sierra Leone","13.5600","8141.3430",""
"Uganda","13.5500","47123.5310","19.0200"
"Syria","12.7200","18275.7020","19.2100"
"Malawi","12.7000","19647.6840",""
"Gambia","12.2400","2486.9450",""
"Niger","11.6800","25130.8170",""
"Mauritania","11.5500","4775.1190","19.9600"
"Botswana","11.2100","2397.2410",""
"Burundi","11.1800","12255.4330",""
"Tunisia","11.1300","11935.7660","35.5700"
"Algeria","10.4300","44616.6240","18.1000"
"Mozambique","9.2700","32163.0470","25.0200"
"Guinea","8.8400","13497.2440",""
"Afghanistan","8.2600","39835.4280","7.2700"
"Equatorial Guinea","7.9500","1449.8960",""
"Sudan","7.9200","44909.3530","14.5100"
"Yemen","7.5900","30490.6400",""
"Turkmenistan","4.1100","6117.9240",""
"Cuba","4.0100","11317.5050","25.0200"
